date             aapl          sp
20020606      -0.024648     -0.019764
20020607      -0.034296     -0.001574
20020610       0.003738      0.003124
20020611      -0.047486     -0.016629
20020612      -0.018084      0.006571
20020613      -0.027377     -0.010488
20020614       0.028659     -0.002268
20020617       0.021891      0.028691
20020618      -0.018987      0.000936
20020619      -0.150372     -0.016536
20020620      -0.000584     -0.013432
20020621      -0.015196     -0.017043
20020624       0.024926      0.003619
20020625      -0.007528     -0.016702
20020626      -0.034422     -0.002674
20020627       0.030816      0.017575
20020628       0.038687     -0.000838
20020701      -0.037246     -0.021378
20020702      -0.007034     -0.021225
20020703       0.036009      0.006223
20020705       0.067806      0.036730
20020708      -0.038954     -0.012184
20020709      -0.026652     -0.024719
20020710      -0.011980     -0.033962
20020711       0.056582      0.007496
20020712      -0.043716     -0.006448
20020715       0.041714     -0.003755
20020716      -0.020296     -0.018389
20020717      -0.124860      0.005538
20020718      -0.040947     -0.027019
20020719      -0.002001     -0.038341
20020722      -0.002674     -0.032922
20020723      -0.030161     -0.027017
20020724       0.050449      0.057315
20020725      -0.055263     -0.005620
20020726      -0.001393      0.016884
20020729       0.047420      0.054078
20020730       0.027297      0.004249
20020731      -0.011018      0.009792
20020801      -0.030144     -0.029574
20020802      -0.023649     -0.023082
20020805      -0.031834     -0.034296
20020806       0.053610      0.029919
20020807       0.019810      0.020010
20020808       0.017829      0.032722
20020809      -0.019608      0.003512
20020812      -0.000667     -0.005327
20020813      -0.026684     -0.021675
20020814       0.039753      0.040047
20020815       0.029005      0.011559
20020816       0.012812     -0.001591
20020819       0.010753      0.023633
20020820      -0.004380     -0.013979
20020821       0.013199      0.012726
20020822      -0.009305      0.014052
20020823      -0.015028     -0.022686
20020826      -0.012715      0.007536
20020827      -0.043786     -0.013851
20020828      -0.010101     -0.018132
20020829       0.000000     -0.000076
20020830       0.003401     -0.001885
20020903      -0.047458     -0.041536
20020904       0.030605      0.017517
20020905      -0.020718     -0.015950
20020906       0.014104      0.016800
20020909      -0.000695      0.010113
20020910      -0.002784      0.007331
20020911      -0.002791     -0.000143
20020912      -0.010497     -0.024784
20020913       0.002122      0.003270
20020916       0.023289      0.001450
20020917       0.020690     -0.019728
20020918       0.014865     -0.004648
20020919      -0.029294     -0.030065
20020920       0.019890      0.002455
20020923      -0.001345     -0.013828
20020924      -0.014141     -0.017284
20020925       0.019809      0.024863
20020926      -0.015405      0.018210
20020927       0.001361     -0.032259
20020930      -0.014946     -0.014600
20021001       0.000690      0.040010
20021002      -0.023432     -0.023587
